"last_name, first_name","player_id","year","p_formatted_ip","home_run","k_percent","bb_percent","p_era","xwoba","hard_hit_percent","whiff_percent"
"Colon, Bartolo",112526,2016,"191.2",24,16.2,4,"3.43",".318",37.6,13.6
"Lewis, Colby",407890,2016,"116.1",19,15.5,5.9,"3.71",".321",35.6,18.5
"Peavy, Jake",408241,2016,"118.2",18,19.6,6.9,"5.54",".343",36.8,23.2
"Wainwright, Adam",425794,2016,"198.2",22,19,7,"4.62",".329",30.2,20.2
"Hernández, Félix",433587,2016,"153.1",19,18.6,9.9,"3.82",".345",34.3,22.5
"Verlander, Justin",434378,2016,"227.2",30,28.1,6.3,"3.04",".274",32.9,26.9
"Jiménez, Ubaldo",434622,2016,"142.1",16,19.6,11.3,"5.44",".318",32.3,21.4
"Sánchez, Aníbal",434671,2016,"153.1",30,20.2,7.9,"5.87",".324",35.2,21.6
"Nolasco, Ricky",445060,2016,"197.2",26,17.6,5.4,"4.42",".318",35.9,20.9
"Kluber, Corey",446372,2016,"215.0",22,26.4,6.6,"3.14",".282",30.4,28.2
"Hill, Rich",448179,2016,"110.1",4,29.4,7.5,"2.12",".259",32.3,28.1
"Shields, James",448306,2016,"181.2",40,16.4,10,"5.85",".359",33.3,22.3
"Guerra, Junior",448855,2016,"121.2",10,20.3,8.7,"2.81",".304",32.4,24.8
"Fister, Doug",450729,2016,"180.1",24,14.8,8,"4.64",".331",35.7,15.6
"Gallardo, Yovani",451596,2016,"118.0",16,16.2,11.6,"5.42",".331",35.7,17.5
"Wright, Steven",453214,2016,"156.2",12,19.4,8.7,"3.33",".281",26.7,25.4
"Scherzer, Max",453286,2016,"228.1",31,31.5,6.2,"2.96",".259",29.5,32.4
"Buchholz, Clay",453329,2016,"139.1",21,15.8,9.4,"4.78",".328",32.9,22
"Griffin, A.J.",456167,2016,"119.0",28,21,9,"5.07",".353",38.7,22.9
"Cueto, Johnny",456501,2016,"219.2",15,22.5,5.1,"2.79",".291",33.2,21.8
"Pelfrey, Mike",460059,2016,"119.0",15,10.4,8.5,"5.07",".369",39.3,16.6
"Gonzalez, Gio",461829,2016,"177.1",19,22.4,7.7,"4.57",".316",33.8,23.4
"Estrada, Marco",462136,2016,"176.0",23,22.8,9,"3.48",".296",31.5,26.2
"Nova, Iván",467100,2016,"162.0",23,18.6,4.1,"4.17",".323",41,20.5
"Carrasco, Carlos",471911,2016,"146.1",21,25,5.7,"3.32",".288",37.9,27
"Niese, Jonathon",477003,2016,"121.0",25,16.1,8.6,"5.50",".355",35.8,17.9
"Kershaw, Clayton",477132,2016,"149.0",8,31.6,2,"1.69",".222",27.3,31.5
"Cashner, Andrew",488768,2016,"132.0",19,19.1,10.2,"5.25",".359",40.7,18.4
"Quintana, Jose",500779,2016,"208.0",22,21.6,6,"3.20",".293",34.2,18.6
"Tillman, Chris",501957,2016,"172.0",19,19.6,9.2,"3.77",".330",35.3,21.9
"Archer, Chris",502042,2016,"201.1",30,27.4,7.9,"4.02",".302",40.5,29.6
"Samardzija, Jeff",502188,2016,"203.1",24,20.1,6.5,"3.81",".307",35.1,20.7
"Anderson, Chase",502624,2016,"151.2",28,18.5,8.2,"4.39",".348",30,20.8
"Holland, Derek",502706,2016,"107.1",15,14.5,7.6,"4.95",".338",33.9,17.2
"Peralta, Wily",503449,2016,"127.2",19,16.8,7.8,"4.86",".345",35.9,21
"Salazar, Danny",517593,2016,"137.1",16,27.6,10.8,"3.87",".307",44.1,25.6
"Bumgarner, Madison",518516,2016,"226.2",26,27.5,5.9,"2.74",".279",31.2,25.9
"Moore, Matt",519043,2016,"198.1",25,21.2,8.6,"4.08",".316",31.4,24.2
"Pomeranz, Drew",519141,2016,"170.2",22,26.5,9.2,"3.32",".279",34.4,25.9
"Zimmermann, Jordan",519455,2016,"105.1",14,14.7,5.8,"4.87",".333",34,17.3
"Pérez, Martín",527048,2016,"198.2",18,12,8.9,"4.39",".354",37.4,18.4
"Teheran, Julio",527054,2016,"188.0",22,22,5.4,"3.21",".298",33.6,24.1
"Andriese, Matt",542882,2016,"127.2",17,20.7,4.7,"4.37",".309",41.2,23.2
"Cole, Gerrit",543037,2016,"116.0",7,19.4,7.1,"3.88",".308",31,18.9
"DeSclafani, Anthony",543101,2016,"123.1",16,20.7,5.9,"3.28",".304",36.1,21.5
"Eovaldi, Nathan",543135,2016,"124.2",23,18.5,7.6,"4.76",".340",40.3,22.1
"Koehler, Tom",543408,2016,"176.2",22,19,10.7,"4.33",".333",33.4,23.5
"McHugh, Collin",543521,2016,"184.2",25,22.3,6.8,"4.34",".289",28.3,23.9
"Odorizzi, Jake",543606,2016,"187.2",29,21.5,7,"3.69",".317",35.9,21.8
"Roark, Tanner",543699,2016,"210.0",17,20.1,8.5,"2.83",".305",30.3,21.9
"Strasburg, Stephen",544931,2016,"147.2",15,30.6,7.4,"3.60",".269",33.6,24.9
"Ventura, Yordano",570649,2016,"186.0",23,17.6,9.6,"4.45",".342",38.4,22.1
"Fiers, Mike",571666,2016,"168.2",26,18.5,5.8,"4.48",".332",39.2,21.6
"Paxton, James",572020,2016,"121.0",9,22.9,4.7,"3.79",".280",41.2,25.5
"Keuchel, Dallas",572971,2016,"168.0",20,20.5,6.8,"4.55",".306",36.9,23.2
"Straily, Dan",573185,2016,"191.1",31,20.5,9.2,"3.76",".324",35,23.4
"Stroman, Marcus",573186,2016,"204.0",21,19.4,6.3,"4.37",".306",41.9,21.5
"Gausman, Kevin",592332,2016,"179.2",28,23,6.2,"3.61",".314",33.7,25.4
"Gray, Jon",592351,2016,"168.0",18,26,8.3,"4.61",".310",34.7,26.5
"Ray, Robbie",592662,2016,"174.1",24,28.1,9.1,"4.90",".317",39.3,26.6
"Taillon, Jameson",592791,2016,"104.0",13,20.3,4.1,"3.38",".283",34.5,18.8
"Martinez, Carlos",593372,2016,"195.1",15,21.5,8.7,"3.04",".283",30.5,23.1
"Rodriguez, Eduardo",593958,2016,"107.0",16,21.9,8.5,"4.71",".299",26,23.5
"deGrom, Jacob",594798,2016,"148.0",15,23.7,6,"3.04",".309",31.8,24.8
"Eickhoff, Jerad",595191,2016,"197.1",30,20.6,5.2,"3.65",".293",35,21.7
"Bradley, Archie",605151,2016,"141.2",16,22.4,10.5,"5.02",".327",37,21.2
"Bundy, Dylan",605164,2016,"109.2",18,21.9,8.9,"4.02",".318",31.7,24.2
"Morgan, Adam",605388,2016,"113.1",23,18.7,5.7,"6.04",".353",39.3,24
"Nola, Aaron",605400,2016,"111.0",10,25.1,6,"4.78",".286",31.8,24.3
"Ross, Joe",605452,2016,"105.0",9,20.8,6.5,"3.43",".318",31.7,24.7
"Wisler, Matt",605538,2016,"156.2",26,17.1,7.3,"5.00",".335",36.8,21.2
"Perdomo, Luis",606131,2016,"146.2",23,15.9,7,"5.71",".331",40.6,19.5
"Devenski, Chris",606965,2016,"108.1",4,25.5,4.9,"2.16",".268",27.4,29
"Rodón, Carlos",607074,2016,"165.0",23,23.5,7.6,"4.04",".303",35,23.6
"Wacha, Michael",608379,2016,"138.0",15,18.8,7.4,"5.09",".318",34.1,18.8
"Duffey, Tyler",608648,2016,"133.0",25,19.1,5.4,"6.43",".358",43,19.7
"Graveman, Kendall",608665,2016,"186.0",22,13.8,6,"4.11",".345",38.7,18.1
"Colon, Bartolo",112526,2017,"143.0",28,13.7,5.4,"6.48",".350",37.4,12.7
"Wainwright, Adam",425794,2017,"123.1",14,17.6,8.2,"5.11",".326",33.8,18.4
"Verlander, Justin",434378,2017,"206.0",27,25.8,8.5,"3.36",".315",35.6,23.6
"Jiménez, Ubaldo",434622,2017,"142.2",33,21.5,9,"6.81",".358",39.5,21
"Sánchez, Aníbal",434671,2017,"105.1",26,21.6,6,"6.41",".338",36.8,23.8
"Feldman, Scott",444857,2017,"111.1",21,19.7,7.4,"4.77",".344",27.9,20.5
"Nolasco, Ricky",445060,2017,"181.0",35,18.2,7.4,"4.92",".365",40,25.4
"Kluber, Corey",446372,2017,"203.2",21,34.1,4.6,"2.25",".248",29.2,33.6
"Hill, Rich",448179,2017,"135.2",18,30.1,8.9,"3.32",".278",29.1,28.1
"Shields, James",448306,2017,"117.0",27,20,10.3,"5.23",".354",37.6,24.7
"Morton, Charlie",450203,2017,"146.2",14,26.4,8.1,"3.62",".294",29.8,26.1
"Vargas, Jason",450306,2017,"179.2",27,17.7,7.7,"4.16",".325",32.7,23.6
"Gallardo, Yovani",451596,2017,"130.2",24,16.3,10.4,"5.72",".356",35.1,20.6
"Scherzer, Max",453286,2017,"200.2",22,34.4,6.9,"2.51",".243",29.5,32.2
"Cueto, Johnny",456501,2017,"147.1",22,21,8.2,"4.52",".354",33.6,23.2
"Pelfrey, Mike",460059,2017,"120.0",25,14.5,11.4,"5.93",".356",37.2,17.4
"Gonzalez, Gio",461829,2017,"201.0",21,22.7,9.6,"2.96",".295",27.9,22.3
